loss,acc,val_loss,val_acc
0.6743844747543335,0.5974715352058411,0.6682725548744202,0.6108054518699646
0.6654863953590393,0.616133987903595,0.6672897934913635,0.6108054518699646
0.6629384160041809,0.616133987903595,0.6648182272911072,0.6108054518699646
0.6563405990600586,0.616133987903595,0.6622088551521301,0.6108054518699646
0.6442963480949402,0.6232486963272095,0.6565778255462646,0.6213688254356384
0.6278221607208252,0.6662653088569641,0.6530423760414124,0.6198283433914185
0.6085144877433777,0.6997591853141785,0.6535587310791016,0.616527259349823
0.5877538323402405,0.7230188250541687,0.6555706858634949,0.6099251508712769
0.568374514579773,0.7386438250541687,0.6555173397064209,0.6168574094772339
0.5499990582466125,0.7521618008613586,0.6639956831932068,0.6047534942626953
0.5274422764778137,0.7710157632827759,0.6730669140815735,0.5989216566085815
0.5092782378196716,0.7820162177085876,0.6777993440628052,0.6035431623458862
0.4923737049102783,0.7923598885536194,0.6837251782417297,0.6075044274330139
0.47353312373161316,0.8035519123077393,0.6887168288230896,0.6098151206970215
0.456980437040329,0.8120074272155762,0.7055161595344543,0.6064040660858154
0.4407012462615967,0.8215575814247131,0.7126020193099976,0.6023327708244324
0.4263974130153656,0.8284260034561157,0.7238228917121887,0.6056337952613831
0.41130128502845764,0.8370457291603088,0.7417219281196594,0.6013424396514893
0.39695316553115845,0.8431479930877686,0.7498416900634766,0.602222740650177
0.3829418420791626,0.850508987903595,0.7618618011474609,0.6039832830429077
