loss,acc,f1_m,val_loss,val_acc,val_f1_m
0.7589969038963318,0.41511717438697815,0.12929704785346985,0.6917250156402588,0.5388392806053162,0.5626429915428162
0.6732916235923767,0.6207812428474426,0.7244980335235596,0.6638050079345703,0.633593738079071,0.7517417669296265
0.6577460765838623,0.6344531178474426,0.7621870636940002,0.6559591889381409,0.633593738079071,0.7622097730636597
0.650149941444397,0.635937511920929,0.7660033702850342,0.652570366859436,0.6324777007102966,0.7616826295852661
0.6419862508773804,0.6483203172683716,0.7712263464927673,0.6480569839477539,0.6452009081840515,0.7613916397094727
0.6366376876831055,0.6632031202316284,0.7723060846328735,0.6459656357765198,0.6483259201049805,0.7494663000106812
0.6310068368911743,0.6756250262260437,0.7746843695640564,0.6427362561225891,0.6501116156578064,0.7503560781478882
0.6220071911811829,0.6914452910423279,0.7785619497299194,0.6397523880004883,0.6560267806053162,0.7417882680892944
0.6123203039169312,0.708789050579071,0.7868685722351074,0.6417750120162964,0.647656261920929,0.7389885187149048
0.6040590405464172,0.716015636920929,0.786176860332489,0.6388809680938721,0.641406238079071,0.7216049432754517
0.5947004556655884,0.7264062762260437,0.7917180061340332,0.636196494102478,0.6459821462631226,0.7220361828804016
0.5865697264671326,0.7358984351158142,0.7973105907440186,0.6357457041740417,0.6430803537368774,0.7254705429077148
0.5773290991783142,0.741992175579071,0.8009251952171326,0.6333910822868347,0.6483259201049805,0.7273910045623779
0.5685703754425049,0.7505078315734863,0.8064514994621277,0.6317067742347717,0.6473214030265808,0.727809727191925
0.5593334436416626,0.7568359375,0.8100525140762329,0.63071209192276,0.6481027007102966,0.7184666991233826
0.5495415925979614,0.7682031393051147,0.8192951083183289,0.6367184519767761,0.6405134201049805,0.7100828886032104
0.542124330997467,0.7675390839576721,0.8167588114738464,0.6369002461433411,0.6402902007102966,0.7098660469055176
0.5336787700653076,0.7757812738418579,0.8219264149665833,0.6389066576957703,0.6388393044471741,0.7056155204772949
